comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
479663,2020-07-22,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
479680,2020-07-28,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
480653,2020-08-19,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
485178,2020-10-05,Gabriel Bourget,Policy Advisor,1,Gabriel Bourget,Policy Advisor,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
483339,2020-10-06,Gabriel Bourget,Special Assistant,1,Gabriel Bourget,Special Assistant,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
485896,2020-11-02,Gabriel Bourget,Special Assistant,1,Gabriel Bourget,Special Assistant,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
492604,2020-12-02,Gabriel Bourget,Special Assistant,1,Gabriel Bourget,Special Assistant,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
489989,2020-12-07,Gabriel Bourget,"Special Assistant, Quebec - Atlantic",1,Gabriel Bourget,"Special Assistant, Quebec - Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
496176,2021-01-21,Gabriel Bourget,Special Assistant,1,Gabriel Bourget,Special Assistant,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
494172,2021-01-25,Gabriel Bourget,Parliamentary Secretary,1,Gabriel Bourget,Parliamentary Secretary,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
494549,2021-02-08,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
499364,2021-02-11,Gabriel Bourget,Parliamentary Secretary | Issues Manager,1,Gabriel Bourget,Parliamentary Secretary | Issues Manager,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
501800,2021-03-11,Gabriel Bourget,Parliamentary Secretary | Issues Manager,1,Gabriel Bourget,Parliamentary Secretary | Issues Manager,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
508430,2021-05-06,Gabriel Bourget,Parliamentary Secretary | Issues Manager,1,Gabriel Bourget,Parliamentary Secretary | Issues Manager,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
506158,2021-05-19,Gabriel Bourget,Parliamentary Secretary | Issues Advisor,1,Gabriel Bourget,Parliamentary Secretary | Issues Advisor,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
509106,2021-06-16,Gabriel Bourget,Parliamentary Secretary | Issues Advisor,1,Gabriel Bourget,Parliamentary Secretary | Issues Advisor,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
511993,2021-07-15,Gabriel Bourget,Parliamentary Secretary | Issues Manager,1,Gabriel Bourget,Parliamentary Secretary | Issues Manager,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
512856,2021-07-22,Gabriel Bourget,Parliamentary Secretary | Issues Manager,1,Gabriel Bourget,Parliamentary Secretary | Issues Manager,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
552725,2022-12-07,Gabriel Bourget,Deputy Director,1,Gabriel Bourget,Deputy Director,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
576025,2023-09-12,Gabriel Bourget,Director of Communications,1,Gabriel Bourget,Director of Communications,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
581584,2023-10-26,Gabriel Bourget,Director of Communications,1,Gabriel Bourget,Director of Communications,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
599362,2024-03-07,Gabriel Bourget,Director of Communications,1,Gabriel Bourget,Director of Communications,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
609486,2024-07-02,Gabriel Bourget,Director of Communications,1,Gabriel Bourget,Director of Communications,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
557182,2023-02-22,gabriel broderick,Policy Analyst,1,Gabriel Broderick,Policy Analyst,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
631234,2025-02-14,gabriel broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
587293,2023-11-27,Gabriel  Broderick,Special Advisor,1,Gabriel Broderick,Special Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
538932,2022-07-29,Gabriel Broderick,Special Assistant,1,Gabriel Broderick,Special Assistant,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
539270,2022-08-08,Gabriel Broderick,"Special Assistant, Policy",1,Gabriel Broderick,"Special Assistant, Policy",Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
541100,2022-09-12,Gabriel Broderick,"Regional Advisor, Ontario",1,Gabriel Broderick,"Regional Advisor, Ontario",Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
543422,2022-09-28,Gabriel Broderick,Special Assistant,1,Gabriel Broderick,Special Assistant,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
546899,2022-10-06,Gabriel Broderick,"Regional Advisor, Office of the Minister of Public Safety",1,Gabriel Broderick,"Regional Advisor, Office of the Minister of Public Safety",Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
559407,2023-02-13,Gabriel Broderick,"Regional Advisor, Ontario",1,Gabriel Broderick,"Regional Advisor, Ontario",Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
580735,2023-10-16,Gabriel Broderick,"Regional Advisor, Ontario",1,Gabriel Broderick,"Regional Advisor, Ontario",Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
586106,2023-11-15,Gabriel Broderick,Senior Regional and Policy Advisor,1,Gabriel Broderick,Senior Regional and Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
585291,2023-11-20,Gabriel Broderick,Senior Regional and Policy Advisor,1,Gabriel Broderick,Senior Regional and Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
587210,2023-11-21,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
587214,2023-11-21,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
585883,2023-11-27,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick,Senior Regional Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
592263,2024-01-09,Gabriel Broderick,"Senior Regional Advisor, Ontario",1,Gabriel Broderick,"Senior Regional Advisor, Ontario",Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
591891,2024-01-17,Gabriel Broderick,Regional Advisor,1,Gabriel Broderick,Regional Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
591290,2024-01-17,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
591880,2024-01-17,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick,Senior Regional Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
591794,2024-01-18,Gabriel Broderick,Regional Advisor,1,Gabriel Broderick,Regional Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
592851,2024-01-25,Gabriel Broderick,Regional Advisor,1,Gabriel Broderick,Regional Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
594007,2024-01-30,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick,Senior Regional Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
591338,2024-01-30,Gabriel Broderick,Senior Regional and Policy Advisor,1,Gabriel Broderick,Senior Regional and Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
599586,2024-03-21,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick,Senior Regional Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
608430,2024-05-02,Gabriel Broderick,"Senior Regional Advisor, Ontario",1,Gabriel Broderick,"Senior Regional Advisor, Ontario",Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
605442,2024-05-29,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick,Senior Regional Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
614860,2024-08-06,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
613786,2024-09-03,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick,Senior Regional Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
616616,2024-09-19,Gabriel Broderick,Senior Regional and Policy Advisor,1,Gabriel Broderick,Senior Regional and Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
622202,2024-11-07,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
627559,2024-11-08,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
625312,2024-11-27,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
629308,2024-12-02,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
624541,2024-12-03,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
630918,2025-01-30,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
630921,2025-01-30,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
630922,2025-01-30,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
630924,2025-01-30,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
630925,2025-01-30,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
631865,2025-02-13,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
632571,2025-02-21,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
633702,2025-02-27,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
634809,2025-03-04,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
636930,2025-05-26,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor,Gabriel Broderick,Senior Policy Advisor
597613,2024-02-27,Gabriel  Brunet ,Parliamentary Affairs Advisor,1,Gabriel Brunet,Parliamentary Affairs Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
523365,2022-02-15,Gabriel Brunet,Communications Advisor,1,Gabriel Brunet,Communications Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
525273,2022-02-15,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet,Parliamentary Affairs Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
524007,2022-02-16,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
528986,2022-03-10,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet,Parliamentary Affairs Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
524905,2022-03-10,Gabriel Brunet,Special Assistant,1,Gabriel Brunet,Special Assistant,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
524963,2022-03-11,Gabriel Brunet,Communications Advisor,1,Gabriel Brunet,Communications Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
528066,2022-03-17,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
530992,2022-04-07,Gabriel Brunet,Parliamentary Affairs Advisor to the Minister,1,Gabriel Brunet,Parliamentary Affairs Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
532011,2022-05-03,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
534851,2022-05-10,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
533882,2022-05-19,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
534571,2022-05-19,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
538847,2022-07-11,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
539665,2022-07-29,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
543935,2022-09-21,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
549319,2022-12-08,Gabriel Brunet,Assistant,1,Gabriel Brunet,Assistant,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
555970,2023-01-24,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
561786,2023-03-27,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
567653,2023-06-07,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet,Parliamentary Affairs Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
588602,2023-11-08,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet,Parliamentary Affairs Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
587366,2023-11-30,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet,Parliamentary Affairs Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
596858,2024-02-27,Gabriel Brunet,Parliamentary Secretary,1,Gabriel Brunet,Parliamentary Secretary,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
599737,2024-03-21,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet,Parliamentary Affairs Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
610130,2024-06-06,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet,Parliamentary Affairs Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
610451,2024-06-06,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet,Parliamentary Affairs Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
611016,2024-06-06,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet,Parliamentary Affairs Advisor,Gabriel Brunet,Communications Advisor to the Minister,Gabriel Brunet,Communications Advisor to the Minister
489791,2020-11-19,gabriel Cyr,Policy Advisor,1,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
405297,2017-06-20,Gabriel Cyr,Constituency Assistant,1,Gabriel Cyr,Constituency Assistant,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
405587,2017-06-28,Gabriel Cyr,Constituency Assistant,1,Gabriel Cyr,Constituency Assistant,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
407630,2017-08-07,Gabriel Cyr,Constituency Assistant,1,Gabriel Cyr,Constituency Assistant,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
424493,2017-10-19,Gabriel Cyr,"Vice President, Young Liberals",1,Gabriel Cyr,"Vice President, Young Liberals",Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
414733,2017-11-30,Gabriel Cyr,Advisor to Member of Parliament,1,Gabriel Cyr,Advisor to Member of Parliament,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
414734,2017-11-30,Gabriel Cyr,Advisor to Member of Parliament,1,Gabriel Cyr,Advisor to Member of Parliament,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
414735,2017-11-30,Gabriel Cyr,Advisor to Member of Parliament,1,Gabriel Cyr,Advisor to Member of Parliament,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
417314,2017-12-04,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr,Parliamentary Secretary,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
417315,2017-12-04,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr,Parliamentary Secretary,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
417326,2017-12-13,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr,Parliamentary Secretary,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
417327,2017-12-18,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr,Parliamentary Secretary,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
417328,2017-12-22,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr,Parliamentary Secretary,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
419536,2018-01-25,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr,Parliamentary Secretary,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
420398,2018-02-08,Gabriel Cyr,Advisor to Member of Parliament,1,Gabriel Cyr,Advisor to Member of Parliament,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
422089,2018-02-21,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr,Parliamentary Secretary,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
422091,2018-02-22,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr,Parliamentary Secretary,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
424257,2018-03-02,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr,Parliamentary Assistant,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
424260,2018-03-12,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr,Parliamentary Assistant,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
424261,2018-03-13,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr,Parliamentary Assistant,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
424264,2018-03-26,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr,Parliamentary Assistant,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
424265,2018-03-30,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr,Parliamentary Assistant,Gabriel Cyr,Policy Advisor,Gabriel Cyr,Policy Advisor
